¡Claro que sí! He analizado todas las páginas del programa y he unificado los diferentes formatos (Música, Talleres, Cine, etc.) en una **sola base de datos homogénea**. 

He definido las siguientes columnas para que la información tenga sentido en un formato Excel:
1. **Categoría Principal:** (Música, Talleres, Mercados, Literatura, Artes Escénicas, etc.)
2. **Fecha:** Día del evento.
3. **Lugar / Espacio:** Parque o tarima específica.
4. **Horario:** Hora de inicio (y fin, si aplica).
5. **Actividad / Nombre del Evento:** Qué se va a hacer.
6. **Artista / Grupo / Encargado:** Quién imparte o se presenta.
7. **Género / Subcategoría / Descripción:** Detalle del tipo de música, taller, o sinopsis.
8. **Público Dirigido / Observaciones:** Edades, requisitos de inscripción, etc.

### Programación Homogenizada - SJ, Aquí 

| Categoría Principal | Fecha | Lugar / Espacio | Horario | Actividad / Nombre del Evento | Artista / Grupo / Encargado | Género / Subcategoría / Descripción | Público Dirigido / Observaciones |
| **Talleres** | Sábado 11 | Parque Morazán (Toldo #2) | 4:00 p.m. - 5:00 p.m. | Taller de Acuarela | Arti Sur | Pintura | De 12 años a +65. Fichas 30 min antes. |
| **Talleres** | Sábado 11 | Parque Morazán (Toldo #4) | 4:15 p.m. - 5:30 p.m. | Mini escultura leyendas | Fabiola Valerín Rojas | Escultura | De 6 años a +65. Fichas 30 min antes. |
| **Talleres** | Sábado 11 | Parque Morazán (Toldo #1) | 4:30 p.m. - 6:30 p.m. | Principiantes tejido Amigurumi | Nicole Vanessa Chaves Mora | Tejido | De 10 años a +65. Fichas 30 min antes. |
| **Talleres** | Sábado 11 | Parque Morazán (Toldo #2) | 5:30 p.m. - 6:30 p.m. | Modelatto | Arti Sur | Modelado | De 12 años a +65. Fichas 30 min antes. |
| **Talleres** | Sábado 11 | Parque Morazán (Toldo #4) | 6:30 p.m. - 8:30 p.m. | Pintando con Leonardo da Vinci | Compañía Los Malafachas | Pintura | De los 6 años hasta +65. Fichas 30 min antes. |
| **Talleres** | Sábado 11 | Parque Morazán (Toldo #1) | 7:00 p.m. - 8:15 p.m. | Porcelana fría: temática Mafalda | Fabiola Valerín Rojas | Manualidades | De 7 años a +65. Fichas 30 min antes. |
| **Talleres** | Domingo 12 | Parque Morazán (Toldo #1) | 11:00 a.m. - 12:30 m.d. | Escultura personajes creativos | Andrea Araya Guerra | Escultura | Mayores de 7 años. Fichas 30 min antes. |
| **Talleres** | Domingo 12 | Parque Morazán (Toldo #2) | 11:00 a.m. - 12:00 m.d. | Taller de slime | Arti Sur | Manualidades | De 3 años en adelante. Fichas 30 min antes. |
| **Talleres** | Domingo 12 | Parque Morazán (Toldo #3) | 11:00 a.m. - 7:00 p.m. | Toldo interactivo | Brahma Kumaris | Enfocá tu mente y vibrá paz | Todo público. Fichas 30 min antes. |
| **Talleres** | Domingo 12 | Parque Morazán (Toldo #4) | 11:30 a.m. - 1:30 p.m. | Taller hula hulas para todos | Katherine Hodgson | Recreación | Todo público. Fichas 30 min antes. |
| **Talleres** | Domingo 12 | Parque Morazán (Toldo #2) | 1:00 p.m. - 2:00 p.m. | Pintura en cerámica | Arti Sur | Pintura | De 12 años a +65. Fichas 30 min antes. |
| **Talleres** | Domingo 12 | Parque Morazán (Toldo #3) | 1:00 p.m. - 2:00 p.m. | Juegos y relajación | Brahma Kumaris | Enfocá tu mente y vibrá paz | Niños. Fichas 30 min antes. |
| **Talleres** | Domingo 12 | Parque Morazán (Toldo #1) | 1:30 p.m. - 2:15 p.m. | Taller de caricaturas en verano | Alejandro Hernández Rojas | Dibujo | De 6 a 16 años. Fichas 30 min antes. |
| **Talleres** | Domingo 12 | Parque Morazán (Área Verde) | 2:00 p.m. - 4:00 p.m. | Talleres de danza aérea | Fabiola Bolaños Brenes | Suspensión y movimiento | De 3 años a +65. Fichas 30 min antes. |
| **Talleres** | Domingo 12 | Parque Morazán (Toldo #3) | 2:00 p.m. - 3:00 p.m. | Herramientas para el bienestar | Brahma Kumaris | Enfocá tu mente y vibrá paz | Todo público. Fichas 30 min antes. |
| **Talleres** | Domingo 12 | Parque Morazán (Toldo #4) | 2:15 p.m. - 3:45 p.m. | Máscara modelada en arcilla | ANESCO | Modelado | De 12 años a +65. Fichas 30 min antes. |
| **Talleres** | Domingo 12 | Parque Morazán (Toldo #2) | 2:30 p.m. - 3:30 p.m. | Taller de porcelana fría | Arti Sur | Manualidades | De 12 años a +65. Fichas 30 min antes. |
| **Talleres** | Domingo 12 | Parque Morazán (Toldo #1) | 3:00 p.m. - 3:45 p.m. | Leyendas costarricenses con arcilla| Alejandro Hernández Rojas | Modelado | De 6 años a 16 años. Fichas 30 min antes. |
| **Talleres** | Domingo 12 | Parque Morazán (Toldo #2) | 4:00 p.m. - 5:00 p.m. | Taller de slime | Arti Sur | Manualidades | De 3 años en adelante. Fichas 30 min antes. |
| **Talleres** | Domingo 12 | Parque Morazán (Toldo #1) | 4:30 p.m. - 5:30 p.m. | Intro a la danza del vientre | Cristina Vargas Sancho | Danza | De 15 años a +65. Fichas 30 min antes. |
| **Talleres** | Domingo 12 | Parque Morazán (Toldo #4) | 4:30 p.m. - 5:30 p.m. | Pintura: bolso historia de SJ | Fabiola Valerín Rojas | "Lleva a San José contigo" | De 7 años a +65. Fichas 30 min antes. |
| **Talleres** | Domingo 12 | Parque Morazán (Toldo #2) | 5:30 p.m. - 6:30 p.m. | Taller de Modelatto | Arti Sur | Modelado | De 12 años a +65. Fichas 30 min antes. |
| **Talleres** | Domingo 12 | Parque Morazán (Toldo #4) | 6:00 p.m. - 7:00 p.m. | Pintura: camiseta de identidad | Fabiola Valerín Rojas | "Vístete de tu ciudad" | De 7 años a +65. Fichas 30 min antes. |
| **Talleres** | Domingo 12 | Parque Morazán (Toldo #1) | 6:15 p.m. - 7:30 p.m. | Títeres de sombras | Wilberth Arroyo y Edder Alvarado | Susurros en el Eclipse | De 7 a 18 años (menores acompañados). |
| **Talleres** | Domingo 12 | Parque Morazán (Toldo #4) | 7:20 p.m. - 8:20 p.m. | Porcelana fría: temática Principito | Fabiola Valerín Rojas | Manualidades | De 7 años a +65. Fichas 30 min antes. |
| **Mercados** | Viernes 10 | Parque Nacional | 12:00 m.d. - 9:00 p.m. | Mercado de Productos | Emprendimientos | 99 Marcas participantes | Todo público |
| **Mercados** | Viernes 10 | Parque España | 12:00 m.d. - 9:00 p.m. | Terraza Gastronómica | Emprendimientos | 3 Marcas participantes | Todo público |
| **Mercados** | Viernes 10 | Parque Morazán | 12:00 m.d. - 9:00 p.m. | Mercado de Bienestar Animal | Emprendimientos | 9 Marcas participantes | Todo público |
| **Mercados** | Viernes 10 | Parque Morazán | 12:00 m.d. - 9:00 p.m. | Terraza Gastronómica | Emprendimientos | 3 Marcas participantes | Todo público |
| **Mercados** | Viernes 10 | Parque Morazán | 12:00 m.d. - 9:00 p.m. | Mercado de Trueque | Emprendimientos | 6 Marcas participantes | Todo público |
| **Mercados** | Sábado 11 | Parque Nacional | 11:00 a.m. - 9:00 p.m. | Mercado de Productos | Emprendimientos | 99 Marcas participantes | Todo público |
| **Mercados** | Sábado 11 | Parque España | 11:00 a.m. - 9:00 p.m. | Terraza Gastronómica | Emprendimientos | 3 Marcas participantes | Todo público |
| **Mercados** | Sábado 11 | Parque Morazán | 11:00 a.m. - 9:00 p.m. | Mercado de Bienestar Animal | Emprendimientos | 9 Marcas participantes | Todo público |
| **Mercados** | Sábado 11 | Parque Morazán | 11:00 a.m. - 9:00 p.m. | Terraza Gastronómica | Emprendimientos | 3 Marcas participantes | Todo público |
| **Mercados** | Sábado 11 | Parque Morazán | 11:00 a.m. - 9:00 p.m. | Mercado de Trueque | Emprendimientos | 6 Marcas participantes | Todo público |
| **Mercados** | Domingo 12 | Parque Nacional | 11:00 a.m. - 8:00 p.m. | Mercado de Productos | Emprendimientos | 99 Marcas participantes | Todo público |
| **Mercados** | Domingo 12 | Parque España | 11:00 a.m. - 8:00 p.m. | Terraza Gastronómica | Emprendimientos | 3 Marcas participantes | Todo público |
| **Mercados** | Domingo 12 | Parque Morazán | 11:00 a.m. - 8:00 p.m. | Mercado de Bienestar Animal | Emprendimientos | 9 Marcas participantes | Todo público |
| **Mercados** | Domingo 12 | Parque Morazán | 11:00 a.m. - 8:00 p.m. | Terraza Gastronómica | Emprendimientos | 3 Marcas participantes | Todo público |
| **Mercados** | Domingo 12 | Parque Morazán | 11:00 a.m. - 8:00 p.m. | Mercado de Trueque | Emprendimientos | 6 Marcas participantes | Todo público |
| **Bibliotecas** | Viernes 10 | Parque España (Toldo Cómputo) | 11:00 a.m. | Milo | Bibliotecas Municipales | Tecnología | Todo público |
| **Bibliotecas** | Viernes 10 | Parque España (Toldo Cómputo) | 1:30 p.m. | El semáforo (robótica) | Bibliotecas Municipales | Tecnología | Todo público |
| **Bibliotecas** | Viernes 10 | Parque España (Toldo Cómputo) | 3:00 p.m. | Orquesta interactiva | Bibliotecas Municipales | Scratch Y Makey Makey | Todo público |
| **Bibliotecas** | Viernes 10 | Parque España (Toldo Cómputo) | 4:30 p.m. | Robótica Spike creación de Kiki | Bibliotecas Municipales | Tecnología | Todo público |
| **Bibliotecas** | Viernes 10 | Parque España (Toldo Cómputo) | 6:00 p.m. | Taller Robot explorador | Bibliotecas Municipales | Tecnología | Todo público |
| **Bibliotecas** | Viernes 10 | Parque España (Toldo Cómputo) | 7:30 p.m. | El robot bailarín Break Dance | Bibliotecas Municipales | Tecnología | Todo público |
| **Literatura** | Viernes 10 | Parque España (Corredor Lit) | 5:00 p.m. | Show de magia | Mago Danny | Entretenimiento | Todo público |
| **Literatura** | Viernes 10 | Parque España (Corredor Lit) | 7:00 p.m. | Magia de la danza árabe | Sherihan Bellydance | Danza | Todo público |
| **Bibliotecas** | Viernes 10 | Parque España | 10:00 a.m. | La Rana Tragona | Bibliotecas Municipales | Ludoteca | Todo público |
| **Bibliotecas** | Viernes 10 | Parque España | 10:45 a.m. | Manitas pintoras | Bibliotecas Municipales | Ludoteca | Todo público |
| **Bibliotecas** | Viernes 10 | Parque España | 11:00 a.m. | Títere con bolsa de papel | Bibliotecas Municipales | Ludoteca | Todo público |
| **Bibliotecas** | Viernes 10 | Parque España | 11:00 a.m. | Flor decorativa | Bibliotecas Municipales | Bibliotecas | Todo público |
| **Bibliotecas** | Viernes 10 | Parque España | 1:00 p.m. | Arte y decoración con lentejuelas | Bibliotecas Municipales | Bibliotecas | Todo público |
| **Bibliotecas** | Viernes 10 | Parque España | 2:30 p.m. | Juego de memoria | Bibliotecas Municipales | Ludoteca | Todo público |
| **Bibliotecas** | Viernes 10 | Parque España | 3:00 p.m. | Aprieta, moldea y crea | Bibliotecas Municipales | Bibliotecas | Todo público |
| **Bibliotecas** | Viernes 10 | Parque España | 3:30 p.m. | Cuadro sensorial | Bibliotecas Municipales | Ludoteca | Todo público |
| **Bibliotecas** | Viernes 10 | Parque España | 4:00 p.m. | Carrera de sacos | Bibliotecas Municipales | Bibliotecas | Todo público |
| **Bibliotecas** | Viernes 10 | Parque España | 4:30 p.m. | Explorando la nieve | Bibliotecas Municipales | Ludoteca | Todo público |
| **Bibliotecas** | Viernes 10 | Parque España | 5:00 p.m. | Pasar el aro | Bibliotecas Municipales | Bibliotecas | Todo público |
| **Bibliotecas** | Viernes 10 | Parque España | 7:00 p.m. | Organizador de cactus | Bibliotecas Municipales | Bibliotecas | Todo público |
| **Bibliotecas** | Viernes 10 | Parque España | 8:00 p.m. | Decora tu Unicornio o Caballo | Bibliotecas Municipales | Bibliotecas | Todo público |
| **Literatura** | Sábado 11 | Parque España (Corredor Lit) | 1:00 p.m. | En busca de la isla desconocida | Teatro CUCARAMACARA | Teatro de Títeres | Todo público |
| **Literatura** | Sábado 11 | Parque España (Corredor Lit) | 3:00 p.m. | Piojito | No Sé Qué Producciones | Teatro | Todo público |
| **Literatura** | Sábado 11 | Parque España (Corredor Lit) | 6:00 p.m. | Cuentos y Cantos con Sole Alegría | Sole Alegría | Cuentacuentos | Todo público |
| **Bibliotecas** | Sábado 11 | Parque España | 10:00 a.m. | La rana tragona | Bibliotecas Municipales | Ludoteca | Todo público |
| **Bibliotecas** | Sábado 11 | Parque España | 10:45 a.m. | Manitas pintoras | Bibliotecas Municipales | Ludoteca | Todo público |
| **Bibliotecas** | Sábado 11 | Parque España | 11:00 a.m. | Milo | Bibliotecas Municipales | Tecnología | Todo público |
| **Bibliotecas** | Sábado 11 | Parque España | 11:00 a.m. | Títere con bolsa de papel | Bibliotecas Municipales | Ludoteca | Todo público |
| **Bibliotecas** | Sábado 11 | Parque España | 11:00 a.m. | Pinta tu bolso | Bibliotecas Municipales | Bibliotecas | Todo público |
| **Bibliotecas** | Sábado 11 | Parque España | 1:00 p.m. | Pajarito con paletas refrigerador | Bibliotecas Municipales | Ludoteca | Todo público |
| **Bibliotecas** | Sábado 11 | Parque España | 1:00 p.m. | Organizador de cactus | Bibliotecas Municipales | Bibliotecas | Todo público |
| **Bibliotecas** | Sábado 11 | Parque España | 1:30 p.m. | El semáforo (robótica) | Bibliotecas Municipales | Tecnología | Todo público |
| **Bibliotecas** | Sábado 11 | Parque España | 2:00 p.m. | Pasar el aro | Bibliotecas Municipales | Bibliotecas | Todo público |
| **Bibliotecas** | Sábado 11 | Parque España | 2:30 p.m. | Juego de memoria | Bibliotecas Municipales | Ludoteca | Todo público |
| **Bibliotecas** | Sábado 11 | Parque España | 3:00 p.m. | Orquesta interactiva | Bibliotecas Municipales | Scratch Y Makey Makey | Todo público |
